channel,meterType,modbusAddress,meterId,measurePoint,concentratorAddress
1,0,105,111,22,20100117
1,0,106,112,1,20100115
1,0,107,113,2,20100115
1,0,108,114,3,20100115
1,0,109,115,4,20100115
1,0,110,116,5,20100115
1,0,111,117,6,20100115
1,0,112,118,7,20100115
1,0,113,119,8,20100115
1,0,114,120,9,20100115
1,0,115,121,10,20100115
1,0,116,123,12,20100115
1,0,117,124,13,20100115
1,0,118,125,14,20100115
1,0,119,126,15,20100115
1,0,120,127,16,20100115
1,0,121,128,17,20100115
1,0,122,129,18,20100115
1,0,123,131,1,20100122
1,0,124,132,2,20100122
1,0,125,133,3,20100122
1,0,126,134,4,20100122
1,0,127,135,5,20100122
1,0,128,136,6,20100122
1,0,129,137,7,20100122
1,0,130,139,9,20100122
1,0,131,140,10,20100122
1,0,132,141,11,20100122
1,0,133,142,12,20100122
1,0,134,143,13,20100122
1,0,135,144,14,20100122
1,0,136,145,15,20100122
1,0,137,146,16,20100122
1,0,138,147,17,20100122
1,0,139,148,18,20100122
1,0,140,149,19,20100122
1,0,141,150,20,20100122
1,0,142,151,21,20100122
1,0,143,153,23,20100122
1,0,144,154,24,20100122
1,0,145,155,25,20100122
1,0,146,156,26,20100122
1,0,147,157,27,20100122
1,0,148,158,1,20100113
1,0,149,159,2,20100113
1,0,150,160,3,20100113
1,0,151,161,4,20100113
1,0,152,163,6,20100113
1,0,153,165,8,20100113
1,0,154,166,9,20100113
1,0,155,167,10,20100113
1,0,156,168,11,20100113
1,0,157,169,12,20100113
1,0,158,170,13,20100113
1,0,159,171,14,20100113
1,0,160,173,16,20100113
1,0,161,174,17,20100113
1,0,162,175,18,20100113
1,0,163,176,19,20100113
1,0,164,177,20,20100113
1,0,165,178,21,20100113
1,0,166,179,22,20100113
1,0,167,180,23,20100113
1,0,168,181,24,20100113
1,0,169,183,26,20100113
1,0,170,184,27,20100113
1,0,171,185,28,20100113
1,0,172,186,29,20100113
1,0,173,188,31,20100113
1,0,174,189,32,20100113
1,0,175,190,35,19072153
1,0,176,191,15,20100108
1,0,177,192,16,20100108
1,0,178,193,17,20100108
1,0,179,194,18,20100108
1,0,180,200,11,20100108
1,0,181,201,12,20100108
1,0,182,206,13,20100108
1,0,183,207,14,20100108
1,0,184,208,1,19072153
1,0,185,209,2,19072153
1,0,186,210,3,19072153
1,0,187,211,4,19072153
1,0,188,212,5,19072153
1,0,189,214,6,19072153
1,0,190,215,7,19072153
1,0,191,216,8,19072153
1,0,192,217,9,19072153
1,0,193,218,10,19072153
1,0,194,220,12,19072153
1,0,195,221,1,20100107
1,0,196,222,2,20100107
1,0,197,225,5,20100107
1,0,198,227,7,20100107
1,0,199,228,8,20100107
1,0,200,230,10,20100107
2,1,1,503,35,20100122
2,1,2,504,40,20100122
2,1,3,505,36,20100122
2,1,4,506,37,20100122
2,1,5,507,38,20100122
2,1,6,508,39,20100122
2,1,7,509,42,20100113
2,1,8,510,1,20100109
2,1,9,511,2,20100109
2,1,10,512,3,20100109
2,1,11,513,4,20100109
2,1,12,514,5,20100109
2,1,13,515,21,19072153
2,1,14,516,22,19072153
2,1,15,520,38,20100123
2,1,16,521,1,20100110
2,1,17,522,2,20100110
2,1,18,523,3,20100110
2,1,19,524,4,20100110
2,1,20,525,5,20100110
2,1,21,526,6,20100110
2,1,22,527,7,20100110
2,1,23,528,8,20100110
2,1,24,529,9,20100110
2,1,25,532,23,20100117
2,1,26,533,24,20100117
2,1,27,535,26,20100117
2,1,28,536,27,20100117
2,1,29,537,28,20100117
2,1,30,538,29,20100117
2,1,31,539,8,20100111
2,1,32,540,5,20100114
2,1,33,541,6,20100114
2,1,34,544,3,20100114
2,1,35,546,7,20100114
2,1,36,547,8,20100114
2,1,37,548,9,20100114
2,1,38,549,10,20100114
2,1,39,550,13,20100114
2,1,40,551,11,20100114
2,1,41,552,12,20100114
2,1,42,553,21,20100114
2,1,43,554,14,20100114
2,1,44,555,15,20100114
2,1,45,557,17,20100114
2,1,46,558,18,20100114
2,1,47,559,19,20100114
2,1,48,560,20,20100114
2,1,49,605,31,20100117
2,1,50,608,33,20100117
2,1,51,609,12,20100124
2,1,52,611,13,20100124
2,1,53,612,14,20100124
2,1,54,614,16,20100124
2,1,55,615,17,20100124
2,1,56,616,18,20100124
2,1,57,617,19,20100124
2,1,58,618,20,20100124
2,1,59,619,21,20100124
2,1,60,620,22,20100124
2,1,61,621,23,20100124
2,1,62,622,24,20100124
2,1,63,623,25,20100124
2,1,64,624,26,20100124
2,1,65,625,27,20100124
2,1,66,626,28,20100124
2,1,67,627,19,20100108
2,1,68,628,20,20100108
2,1,69,629,21,20100108
2,1,70,631,1,20101337
2,1,71,632,2,20101337
2,1,72,633,3,20101337
2,1,73,637,39,20100119
2,1,74,639,41,20100119
2,1,75,640,42,20100119
2,1,76,641,43,20100119
2,1,77,642,44,20100119
2,1,78,643,45,20100119
2,1,79,644,1,21020054
2,1,80,645,2,21020054
2,1,81,646,3,21020054
2,1,82,647,4,21020054
2,1,83,648,5,21020054
2,1,84,649,6,21020054
2,1,85,650,7,21020054
2,1,86,651,8,21020054
2,1,87,652,1,21020067
2,1,88,653,2,21020067
2,1,89,654,3,21020067
2,1,90,655,4,21020067
2,1,91,656,5,21020067
2,1,92,657,6,21020067
2,1,93,658,7,21020067
