Meter_ID,Meter_MeasurePoint,Concentrator_ID
696,3,21020044
698,4,21020044
699,5,21020044
700,6,21020044
701,7,21020044
702,8,21020044
703,9,21020044
704,10,21020044
705,11,21020044
706,12,21020044
707,13,21020044
708,14,21020044
709,5,21020055
710,6,21020055
711,7,21020055
712,1,20101338
713,2,20101338
714,3,20101338
715,1,20101334
716,2,20101334
717,1,21020074
718,2,21020074
719,3,21020074
720,4,21020074
721,5,21020074
722,6,21020074
723,1,20101334
724,2,20101334
725,9,20100124
726,10,20100124
727,26,19072153
728,27,19072153
729,28,19072153
730,29,19072153
731,30,19072153
732,31,19072153
733,32,19072153
734,33,19072153
735,34,19072153
736,11,19072153
739,3,20101334
740,4,20101334
741,5,20101334
742,1,20100121
743,2,20100121
744,3,20100121
747,10,20100104
748,10,20100111
749,1,20100105
750,2,20100105
751,3,20100105
752,1,20100112
753,2,20100112
754,3,20100112
755,4,20100112
756,5,20100112
757,6,20100112
758,7,20100112
759,8,20100112
760,8,20100109
761,9,20100109
762,10,20100109
763,11,20100109
764,5,20101336
765,6,20101336
766,7,20101336
767,8,20101336
768,9,20101336
769,10,20101336
770,7,20101337
771,8,20101337
772,9,20101337
773,10,20101337
774,11,20101337
775,12,20101337
776,13,20101337
777,14,20101337
778,15,20101337
779,16,20101337
780,17,20101337
781,18,20101337
782,19,20101337
783,20,20101337
784,21,20101337
785,1,20101336
786,2,20101336
787,3,20101336
788,4,20101336
789,1,20100104
790,2,20100104
791,3,20100104
792,4,20100104
793,5,20100104
794,6,20100104
795,7,20100104
796,9,20100111
797,10,20100111
798,11,20100111
799,12,20100111
800,13,20100111
801,14,20100111
802,15,20100111
803,14,20100121
804,15,20100121
805,16,20100121
806,17,20100121
807,18,20100121
808,19,20100121
809,20,20100121
810,21,20100121
811,22,20100121
812,23,20100121
813,24,20100121
814,25,20100121
815,26,20100121
816,27,20100121
817,28,20100121
818,29,20100121
819,30,20100121
820,31,20100121
821,6,20100109
822,7,20100109
823,29,20100124
824,30,20100124
825,29,20100103
826,30,20100103
827,31,20100103
828,32,20100103
829,33,20100103
830,34,20100103
831,32,20100119
832,39,20100119
833,33,20100119
834,40,20100119
835,34,20100119
836,41,20100119
837,35,20100119
838,36,20100119
839,43,20100119
840,37,20100119
841,44,20100119
842,38,20100119
843,1,21020043
844,1,21020052
845,1,21020041
846,2,21020043
847,3,21020043
848,4,21020043
849,2,21020052
850,3,21020052
851,4,21020052
852,2,21020041
853,3,21020041
854,4,21020041
855,5,21020041
856,6,21020041
857,7,21020041
858,8,21020041
859,9,21020041
860,10,21020041
861,11,21020041
862,12,21020041
863,13,21020041
864,14,21020041
865,1,21020059
866,2,21020059
867,3,21020059
868,4,21020059
869,5,21020059
870,6,21020059
871,7,21020059
872,8,21020059
873,9,21020059
874,10,21020059
875,11,21020059
876,12,21020059
877,13,21020059
